inst#,actual,predicted,error,prediction
77,4:Left,4:Left,,0.999
78,4:Left,4:Left,,0.998
79,4:Left,4:Left,,0.999
80,4:Left,4:Left,,0.997
81,4:Left,4:Left,,1
82,4:Left,4:Left,,0.981
83,4:Left,4:Left,,0.968
84,4:Left,4:Left,,0.999
85,4:Left,1:Not,+,0.999
86,3:Right,3:Right,,0.992
87,3:Right,3:Right,,0.986
88,3:Right,3:Right,,0.987
89,3:Right,3:Right,,0.999
90,3:Right,3:Right,,0.945
91,3:Right,3:Right,,0.973
92,3:Right,4:Left,+,0.912
93,3:Right,3:Right,,0.993
94,3:Right,4:Left,+,0.668
95,3:Right,3:Right,,0.98
96,3:Right,3:Right,,0.744
97,3:Right,3:Right,,1
98,3:Right,3:Right,,0.993
99,3:Right,1:Not,+,0.548
100,3:Right,3:Right,,0.992
101,3:Right,4:Left,+,0.763
102,3:Right,3:Right,,1
103,3:Right,3:Right,,0.955
104,3:Right,3:Right,,1
1,1:Not,1:Not,,0.978
2,1:Not,1:Not,,1
3,1:Not,1:Not,,1
4,1:Not,1:Not,,1
5,1:Not,1:Not,,0.993
6,1:Not,1:Not,,1
7,1:Not,1:Not,,0.991
8,1:Not,1:Not,,1
9,1:Not,1:Not,,0.59
10,1:Not,2:Forward,+,0.622
11,1:Not,1:Not,,1
12,1:Not,1:Not,,0.734
13,1:Not,1:Not,,1
14,1:Not,3:Right,+,0.867
15,1:Not,1:Not,,1
16,1:Not,1:Not,,1
17,1:Not,1:Not,,0.998
18,1:Not,1:Not,,1
19,1:Not,1:Not,,0.973
20,1:Not,1:Not,,0.638
21,1:Not,1:Not,,0.973
22,1:Not,1:Not,,0.656
23,1:Not,1:Not,,0.973
24,1:Not,1:Not,,1
25,1:Not,1:Not,,0.988
26,1:Not,1:Not,,0.981
27,1:Not,1:Not,,0.636
28,1:Not,1:Not,,0.998
29,1:Not,1:Not,,0.639
30,1:Not,1:Not,,0.999
31,1:Not,1:Not,,0.928
32,1:Not,1:Not,,1
33,1:Not,1:Not,,0.989
34,2:Forward,2:Forward,,0.998
35,2:Forward,2:Forward,,0.89
36,2:Forward,2:Forward,,0.898
37,2:Forward,2:Forward,,0.979
38,2:Forward,2:Forward,,0.996
39,2:Forward,1:Not,+,0.587
40,2:Forward,2:Forward,,0.994
41,2:Forward,2:Forward,,0.511
42,2:Forward,1:Not,+,0.558
43,2:Forward,2:Forward,,0.889
44,2:Forward,2:Forward,,0.939
45,2:Forward,4:Left,+,0.63
46,2:Forward,2:Forward,,0.89
47,2:Forward,2:Forward,,0.996
48,2:Forward,2:Forward,,0.892
49,2:Forward,1:Not,+,0.645
50,2:Forward,2:Forward,,0.891
51,2:Forward,2:Forward,,0.512
52,2:Forward,2:Forward,,0.888
53,2:Forward,2:Forward,,0.923
54,2:Forward,1:Not,+,0.599
55,2:Forward,2:Forward,,0.996
56,2:Forward,2:Forward,,0.998
57,2:Forward,1:Not,+,0.892
58,2:Forward,2:Forward,,0.794
59,2:Forward,1:Not,+,0.641
60,2:Forward,2:Forward,,0.966
61,2:Forward,2:Forward,,0.89
62,2:Forward,2:Forward,,0.998
63,2:Forward,2:Forward,,0.991
64,2:Forward,2:Forward,,0.907
65,2:Forward,2:Forward,,0.897
66,2:Forward,1:Not,+,0.592
67,2:Forward,4:Left,+,0.706
68,2:Forward,2:Forward,,0.999
69,2:Forward,2:Forward,,0.89
70,4:Left,3:Right,+,0.8
71,4:Left,2:Forward,+,0.994
72,4:Left,4:Left,,0.947
73,4:Left,1:Not,+,1
74,4:Left,1:Not,+,1
75,4:Left,4:Left,,0.954
76,4:Left,4:Left,,0.992
77,4:Left,4:Left,,0.961
78,4:Left,4:Left,,0.605
79,4:Left,1:Not,+,1
80,4:Left,1:Not,+,1
81,4:Left,3:Right,+,0.847
82,4:Left,4:Left,,0.935
83,4:Left,4:Left,,0.993
84,4:Left,4:Left,,0.909
85,4:Left,4:Left,,0.972
86,3:Right,4:Left,+,0.851
87,3:Right,3:Right,,0.998
88,3:Right,3:Right,,0.998
89,3:Right,3:Right,,0.984
90,3:Right,3:Right,,0.847
91,3:Right,3:Right,,0.998
92,3:Right,3:Right,,0.996
93,3:Right,3:Right,,0.841
94,3:Right,3:Right,,0.996
95,3:Right,3:Right,,0.996
96,3:Right,3:Right,,0.997
97,3:Right,3:Right,,0.997
98,3:Right,3:Right,,0.976
99,3:Right,1:Not,+,0.592
100,3:Right,3:Right,,0.769
101,3:Right,3:Right,,0.966
102,3:Right,3:Right,,0.881
103,3:Right,3:Right,,0.991
104,3:Right,3:Right,,0.845
1,1:Not,2:Forward,+,0.529
2,1:Not,1:Not,,0.896
3,1:Not,3:Right,+,0.643
4,1:Not,1:Not,,0.928
5,1:Not,2:Forward,+,0.681
